model,rank,params,mean_cv_log_loss,mean_cv_top1,mean_cv_ece,std_cv_log_loss,mean_fit_time,selected,is_default,search_skipped,skip_reason
logistic,1,"{""C"":4.0,""class_weight"":null}",0.11288285300264518,0.9883753278027044,0.07907138581326258,0.001543133515122583,1.9315979480743408,True,False,False,
logistic,2,"{""C"":2.0,""class_weight"":null}",0.13990802811729983,0.9897503434726324,0.10504918111421487,0.0010383630680163359,2.3293697834014893,False,False,False,
logistic,3,"{""C"":1.0,""class_weight"":null}",0.1807541235437998,0.9901252497226295,0.14019978832952854,0.000797816735318947,2.797535498936971,False,True,False,
logistic,4,"{""C"":0.5,""class_weight"":null}",0.2405270087741415,0.9908752028652082,0.1879723424367532,0.0007686231357149322,2.1735967795054116,False,False,False,
logistic,5,"{""C"":4.0,""class_weight"":""balanced""}",0.24445173923028382,0.9809999368983604,0.17089750612135357,0.0029167213526521455,1.9547863006591797,False,False,False,
logistic,6,"{""C"":2.0,""class_weight"":""balanced""}",0.30246342391384884,0.9816251400682942,0.21588546922135513,0.0020979567731678273,2.2199841340382895,False,False,False,
logistic,7,"{""C"":0.25,""class_weight"":null}",0.3272159832756328,0.99212514039646,0.2520846968708444,0.0005967413458756527,2.184392293294271,False,False,False,
logistic,8,"{""C"":1.0,""class_weight"":""balanced""}",0.38360392434410756,0.9831250932343135,0.274802791906922,0.0013598224636886653,2.7089803218841553,False,False,False,
logistic,9,"{""C"":0.5,""class_weight"":""balanced""}",0.48981308229029913,0.9830001088573606,0.34320319261634863,0.0013285719105735369,2.926266590754191,False,False,False,
logistic,10,"{""C"":0.25,""class_weight"":""balanced""}",0.6209584699930172,0.9841251557733828,0.4203998655667505,0.0007993113974584568,2.2370795408884683,False,False,False,
randomForest,1,"{""max_depth"":16,""max_features"":0.8,""min_samples_leaf"":2,""min_samples_split"":4,""n_estimators"":320}",0.06825787966200055,0.9857502808398012,0.031276956586187975,0.0013194616457008741,126.74980060259502,True,False,False,
randomForest,2,"{""max_depth"":null,""max_features"":0.6,""min_samples_leaf"":6,""min_samples_split"":8,""n_estimators"":240}",0.08014639626092328,0.9860002495937071,0.04176369264424912,0.0012613786151380606,75.12649726867676,False,False,False,
randomForest,3,"{""max_depth"":null,""max_features"":0.6,""min_samples_leaf"":6,""min_samples_split"":4,""n_estimators"":400}",0.0801730757262544,0.98562534334371,0.04145258012815651,0.0012080775329838252,119.92278369267781,False,False,False,
randomForest,4,"{""max_depth"":16,""max_features"":""sqrt"",""min_samples_leaf"":2,""min_samples_split"":4,""n_estimators"":320}",0.11594208863395439,0.99262503102341,0.08612574825966797,0.00138068499316264,16.138278166453045,False,False,False,
randomForest,5,"{""max_depth"":12,""max_features"":0.6,""min_samples_leaf"":2,""min_samples_split"":8,""n_estimators"":240}",0.12515189022436035,0.9810002181835298,0.06950878497206615,0.004721946583981641,71.49024391174316,False,False,False,
randomForest,6,"{""max_depth"":12,""max_features"":0.8,""min_samples_leaf"":2,""min_samples_split"":12,""n_estimators"":160}",0.1295363661796683,0.9743749210643493,0.062108015048812366,0.006058203528474633,52.65009045600891,False,False,False,
randomForest,7,"{""max_depth"":12,""max_features"":0.6,""min_samples_leaf"":6,""min_samples_split"":8,""n_estimators"":240}",0.13160183024105465,0.9793753275214191,0.07210325174022512,0.0044632761065964074,69.48296745618184,False,False,False,
randomForest,8,"{""max_depth"":12,""max_features"":""sqrt"",""min_samples_leaf"":2,""min_samples_split"":12,""n_estimators"":160}",0.14411418295248543,0.9897501090683244,0.10354510892124047,0.0024379402019155958,8.306400299072266,False,False,False,
randomForest,9,"{""max_depth"":12,""max_features"":""sqrt"",""min_samples_leaf"":4,""min_samples_split"":8,""n_estimators"":240}",0.15016171935107006,0.9903750778339505,0.10948323125907412,0.0016202403642830538,11.990394592285156,False,True,False,
randomForest,10,"{""max_depth"":12,""max_features"":""sqrt"",""min_samples_leaf"":6,""min_samples_split"":4,""n_estimators"":240}",0.16118047588837195,0.989875234087862,0.11750022174973156,0.0008940285505152757,11.489893833796183,False,False,False,
randomForest,11,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":6,""min_samples_split"":8,""n_estimators"":240}",0.3734379971610222,0.9823754213769039,0.25008592896857507,0.00414110198518882,10.072489500045776,False,False,False,
randomForest,12,"{""max_depth"":8,""max_features"":0.6,""min_samples_leaf"":2,""min_samples_split"":8,""n_estimators"":240}",0.631648240137837,0.9427490918473901,0.3098474522154882,0.005734447584056236,56.61836322148641,False,False,False,
gradientBoosting,1,"{""learning_rate"":0.05,""max_depth"":3,""min_samples_leaf"":2,""min_samples_split"":2,""n_estimators"":160,""subsample"":0.7}",0.06031773986615235,0.9836253589081561,0.0041274742705549455,0.019938864376118727,583.1623502572378,True,False,False,
gradientBoosting,2,"{""learning_rate"":0.05,""max_depth"":2,""min_samples_leaf"":2,""min_samples_split"":4,""n_estimators"":160,""subsample"":0.7}",0.061715910655647,0.9810004994686992,0.007923290598457469,0.01764248821560177,413.047386487325,False,False,False,
gradientBoosting,3,"{""learning_rate"":0.08,""max_depth"":2,""min_samples_leaf"":4,""min_samples_split"":8,""n_estimators"":80,""subsample"":1.0}",0.06666408199240807,0.9810004994686992,0.007216572388828329,0.020456407363817628,292.64816482861835,False,False,False,
gradientBoosting,4,"{""learning_rate"":0.08,""max_depth"":4,""min_samples_leaf"":1,""min_samples_split"":2,""n_estimators"":60,""subsample"":0.7}",0.07186409828696073,0.9807502025487623,0.00548042685152005,0.02053029146535123,291.2595606644948,False,False,False,
gradientBoosting,5,"{""learning_rate"":0.08,""max_depth"":4,""min_samples_leaf"":1,""min_samples_split"":8,""n_estimators"":60,""subsample"":0.85}",0.0777187402253676,0.9791253118866519,0.00558631813040168,0.021557014616075388,345.47034366925556,False,False,False,
gradientBoosting,6,"{""learning_rate"":0.05,""max_depth"":3,""min_samples_leaf"":1,""min_samples_split"":4,""n_estimators"":80,""subsample"":1.0}",0.0801615731753745,0.979125405648375,0.008764025089404824,0.01720500082757737,416.3263469537099,False,False,False,
gradientBoosting,7,"{""learning_rate"":0.05,""max_depth"":4,""min_samples_leaf"":1,""min_samples_split"":2,""n_estimators"":120,""subsample"":1.0}",0.08606534708920088,0.9771255149745443,0.00670469863125553,0.019094898150159873,844.3556265036265,False,False,False,
gradientBoosting,8,"{""learning_rate"":0.08,""max_depth"":4,""min_samples_leaf"":2,""min_samples_split"":4,""n_estimators"":160,""subsample"":1.0}",0.10017451990285102,0.9820004682460454,0.011571229490280735,0.036760764213423086,999.0958123207092,False,False,False,
gradientBoosting,9,"{""learning_rate"":0.03,""max_depth"":2,""min_samples_leaf"":2,""min_samples_split"":4,""n_estimators"":80,""subsample"":0.85}",0.16967161087410632,0.9717507648378162,0.07491753815267327,0.01710528542273748,228.680321931839,False,False,False,
gradientBoosting,10,"{""learning_rate"":0.03,""max_depth"":4,""min_samples_leaf"":4,""min_samples_split"":4,""n_estimators"":60,""subsample"":1.0}",0.18318549112461247,0.9732506242421123,0.0761675490414237,0.01996924276741657,406.78164982795715,False,False,False,
